university	career	inscription_date	first_name	gender	age	postal_code	location	email
universidad del salvador	licenciatura en administración 	17-Sep-20	james_gonzalez	male	21	2747	coronel isleños	josephjackson@hotmail.com
universidad del salvador	licenciatura en relaciones del trabajo 	01-Oct-20	christopher_russell	male	21	6535	bellocq	pattersonjeremy@gmail.com
universidad del salvador	licenciatura en ciencias ambientales	29-Sep-20	monica_farley	female	50	2105	cañada rica	maria48@yahoo.com
universidad del salvador	licenciatura en ciencia y tecnología de alimentos	21-Dec-20	tammy_sutton	female	21	6472	francisco madero	charles28@hotmail.com
universidad del salvador	licenciatura en terapia ocupacional	15-Jan-21	sydney_price	female	21	6346	pellegrini	singletonjoshua@yahoo.com
universidad del salvador	bioquímica	21-Nov-20	anthony_baird	male	21	1665	jose clemente paz	hernandezandrew@hotmail.com
universidad del salvador	licenciatura en ciencia política 	02-Nov-20	adam_clark	male	33	6201	chanilao	ymills@gmail.com
universidad del salvador	ingeniería electrónica	10-Dec-20	cheryl_cruz	female	21	1828	banfield	charlenebarker@gmail.com
universidad del salvador	licenciatura en producción de bioimagenes	28-Dec-20	regina_hutchinson	female	21	6616	castilla	simpsonmichelle@hotmail.com
universidad del salvador	licenciatura en ciencias antropológicas	29-Sep-20	todd_frazier	male	21	5582	alberto flores	amyneal@gmail.com
universidad del salvador	ingeniería en informática	13-Dec-20	mark_lewis	male	21	9409	isla gran malvina	zfrost@gmail.com
universidad del salvador	licenciatura en ciencias geológicas	03-Sep-20	joann_howell	female	21	6361	agustoni	wongcaleb@yahoo.com
universidad del salvador	licenciatura en gestión de agroalimentos	29-Nov-20	sarah_aguirre	female	21	7503	cristiano muerto	paul08@gmail.com
universidad del salvador	licenciatura en ciencias de la educación 	23-Sep-20	elijah_murphy	male	21	3280	arroyo urquiza	dmiller@hotmail.com
universidad del salvador	actuario 	18-Sep-20	jacqueline_lynch	female	21	2177	bigand	keith17@gmail.com
universidad del salvador	diseño industrial	06-Jan-21	devin_lewis	male	21	5553	empalme frontera	margaret60@gmail.com
universidad del salvador	contador público 	15-Sep-20	robert_johnson	male	48	6663	juan vela	brownjane@yahoo.com
universidad del salvador	contador público 	23-Jan-21	tammy_rios	female	21	1621	benavidez	hshort@hotmail.com
universidad del salvador	diseño de imagen y sonido	30-Oct-20	michelle_patterson	female	21	5611	agua rica	crosales@hotmail.com
universidad del salvador	licenciatura en planificación y diseño del paisaje	13-Sep-20	marcus_payne	male	21	5413	apeadero las chimbas	ericsullivan@yahoo.com
universidad del salvador	licenciatura en administración 	22-Oct-20	diane_snyder	female	21	5527	colonia santa teresa	xhayden@hotmail.com
universidad del salvador	licenciatura en ciencias ambientales	02-Sep-20	rachel_miller	female	44	8170	abra de hinojo	brian17@gmail.com
universidad del salvador	licenciatura en ciencia y tecnología de alimentos	28-Jan-21	bradley_brown	male	21	6513	colonia las yescas	valeriecraig@yahoo.com
universidad del salvador	actuario 	01-Feb-21	kyle_melendez	male	21	1776	9 de abril	emilycurry@hotmail.com
universidad del salvador	técnico para bioterios 	13-Oct-20	tiffany_jensen	female	21	6235	villa sauce	wshelton@hotmail.com
universidad del salvador	licenciatura en administración 	14-Oct-20	tracy_cole	male	21	3620	kilometro 184	caldwelljennifer@yahoo.com
universidad del salvador	licenciatura en artes	03-Jan-21	crystal_bennett	female	50	1629	almirante irizar	mollyporter@hotmail.com
universidad del salvador	licenciatura en terapia ocupacional	02-Oct-20	craig_austin	male	21	9033	aldea apeleg	hernandezrebecca@hotmail.com
universidad del salvador	licenciatura en ciencia y tecnología de alimentos	20-Sep-20	elizabeth_moreno	female	21	5460	agua de la zorra	taylorlori@yahoo.com
universidad del salvador	licenciatura en sociología 	03-Sep-20	amy_smith	female	21	1640	acassuso	martinezmichael@hotmail.com
universidad del salvador	licenciatura en administración 	05-Oct-20	michael_gonzalez	male	21	3240	colonia egido	atkinsoncharles@hotmail.com
universidad del salvador	licenciatura en ciencia y tecnología de alimentos	25-Dec-20	frank_hale	male	21	2216	campo raffo	castilloronald@gmail.com
universidad del salvador	licenciatura en producción de bioimagenes	21-Sep-20	jason_johnson	male	21	6338	leubuco	steven06@gmail.com
universidad del salvador	ingeniería mecánica	14-Oct-20	angela_stokes	female	21	5584	barrio villa adela	baxtermichael@hotmail.com
universidad del salvador	licenciatura en ciencia política 	07-Jan-21	kelly_cohen	female	50	2520	la california	dawn60@gmail.com
universidad del salvador	licenciatura en producción de bioimagenes	30-Dec-20	donald_mercer	male	21	6405	30 de agosto	ryan73@yahoo.com
universidad del salvador	licenciatura en relaciones del trabajo 	08-Jan-21	linda_goodwin	female	21	2529	piamonte	dixonchristina@yahoo.com
universidad del salvador	ingeniería en informática	24-Dec-20	john_johnson	male	19	3350	apostoles	xdiaz@gmail.com
universidad del salvador	licenciatura en ciencias antropológicas	27-Jan-21	thomas_camacho	male	28	3425	costa grande	ybrown@gmail.com
universidad del salvador	farmacia	03-Sep-20	steven_robinson	male	21	9420	aserradero arroyo	iphillips@yahoo.com
universidad del salvador	farmacia	16-Jan-21	timothy_warren	male	21	6317	la florencia	johnsonsheena@yahoo.com
universidad del salvador	ingeniería electrónica	28-Nov-20	edward_wheeler	male	21	7223	bonnement	burnettbrian@yahoo.com
universidad del salvador	licenciatura en terapia ocupacional	13-Oct-20	gina_stevens	female	48	2324	colonia tacurales	jasmine29@hotmail.com
universidad del salvador	licenciatura en kinesiología y fisiatría	08-Nov-20	jared_simpson	male	30	3302	aguara cua	dereknelson@gmail.com
universidad del salvador	actuario 	22-Oct-20	jamie_wilson	female	32	4163	huasa pampa norte	nelsonbrian@yahoo.com
universidad del salvador	licenciatura en gestión de agroalimentos	29-Dec-20	edgar_stuart	male	44	6652	olascoaga	ostephens@gmail.com
universidad del salvador	actuario 	01-Sep-20	kim_garza	female	21	5753	agua linda	lwilson@hotmail.com
universidad del salvador	licenciatura en ciencia y tecnología de alimentos	25-Sep-20	karen_hamilton	female	21	5871	la aguada de las animas	timothyberry@yahoo.com
universidad del salvador	licenciatura en ciencias biológicas	05-Oct-20	ashley_brown	female	38	2637	colonia hansen	robertsrobert@yahoo.com
universidad del salvador	licenciatura en gestión de agroalimentos	28-Nov-20	timothy_medina	male	21	3125	antonio tomas	erin20@yahoo.com
universidad del salvador	agronomía	14-Sep-20	michael_munoz	male	21	4234	achalco	whitney22@yahoo.com
universidad del salvador	diseño industrial	18-Oct-20	brian_gillespie	male	50	8000	adela corti	michaelhampton@gmail.com
universidad del salvador	licenciatura en gestión de agroalimentos	01-Dec-20	brandon_jones	male	21	9200	arroyo pescado	denise90@gmail.com
universidad del salvador	licenciatura en administración 	29-Dec-20	darlene_estrada	female	21	3386	caraguatay	dylan54@gmail.com
universidad del salvador	licenciatura en administración 	29-Dec-20	darlene_estrada	female	21	3557	caraguatay	dylan54@gmail.com
universidad del salvador	licenciatura en ciencias antropológicas	12-Oct-20	katherine_bond	female	21	6608	agote	iandrade@gmail.com
