university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
universidad de palermo	actuario	2021-01-11	gregory	wilson	male	21	2846	anahi	harrissheila@gmail.com
universidad de palermo	contador público	2021-01-08	david	hess	male	32	1759	gonzalez catan	martinezbrooke@yahoo.com
universidad de palermo	licenciatura en terapia ocupacional	2021-01-26	david	walton	male	20	5263	el medano	millerryan@hotmail.com
universidad de palermo	medicina	2021-01-31	jason	bradshaw	male	33	2508	armstrong	ftapia@hotmail.com
universidad de palermo	diseño industrial	2021-01-03	andrew	wilson	male	21	9407	28 de noviembre	david63@yahoo.com
universidad de palermo	técnico para bioterios	2021-01-28	tina	phillips	female	33	8375	cañadon de los indios	katherine69@gmail.com
universidad de palermo	licenciatura en ciencias biológicas	2021-01-26	jackson	lawson	male	21	2801	alto verde	schroederjohn@yahoo.com
universidad de palermo	medicina	2021-01-01	wendy	pearson	female	21	5304	el tala	qcruz@hotmail.com
universidad de palermo	agronomía	2021-01-05	brandon	hamilton	male	21	3515	capitan solari	john74@gmail.com
universidad de palermo	actuario	2021-01-15	lori	wright	female	25	8153	balneario oriente	john71@yahoo.com
universidad de palermo	ingeniería electrónica	2021-01-05	rickey	carter	male	21	9300	cañadon de las vacas	luke85@hotmail.com
universidad de palermo	técnico para bioterios	2021-01-06	summer	pierce	female	42	7150	ayacucho	hnunez@hotmail.com
universidad de palermo	licenciatura en gestión de agroalimentos	2021-01-26	david	ramos	male	27	3550	allende	mariah31@hotmail.com
universidad de palermo	técnico para bioterios	2021-01-19	kimberly	holder	female	21	1682	martin coronado	laura13@hotmail.com
universidad de palermo	ingeniería electrónica	2021-01-03	karen	dickerson	female	44	5719	agua amarga	aedwards@hotmail.com
universidad de palermo	medicina	2021-01-03	patricia	smith	female	36	2313	colonia berlin	zcruz@hotmail.com
universidad de palermo	licenciatura en musicoterapia	2021-01-18	shannon	weaver	female	47	5275	agua colorada	clarkdawn@yahoo.com
universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2021-01-26	tracey	morrison	female	21	3234	bonpland	hhensley@hotmail.com
universidad de palermo	licenciatura en ciencia política	2021-01-14	kaitlyn	potter	female	21	3557	caraguatay	joel80@gmail.com
universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2021-01-24	harry	valentine	male	21	3061	antonio pini	timothypatterson@gmail.com
universidad de palermo	licenciatura en producción de bioimagenes	2021-01-12	vickie	lopez	female	21	3191	arroyo ceibo	vmartinez@yahoo.com
universidad de palermo	técnico para bioterios	2021-01-15	michelle	taylor	female	21	9000	comodoro rivadavia	orosales@yahoo.com
universidad de palermo	ingeniería mecánica	2021-01-04		adam	male	21	3526	gandolfi	gaguilar@hotmail.com
universidad de palermo	licenciatura en artes	2021-01-02	teresa	thomas	female	35	3427	abra	theodore49@gmail.com
universidad de palermo	ciencias veterinarias	2021-01-18	jillian	ferrell	female	21	3461	abo nezu	kpeterson@hotmail.com
universidad de palermo	arquitectura	2021-01-28	jason	hamilton	male	21	3433	carrizal norte	cummingsregina@gmail.com
universidad de palermo	licenciatura en psicología	2021-01-24	april	oliver	female	21	2345	campo botto	natashabradley@hotmail.com
universidad de palermo	ciencias veterinarias	2021-01-11	timothy	stewart	male	21	6455	carlos tejedor	allensylvia@hotmail.com
universidad de palermo	licenciatura en ciencias biológicas	2021-01-11	kathleen	shaw	female	21	3111	almacen cristian schubert	singhgina@hotmail.com
universidad de palermo	bioquímica	2021-01-15	carol	bridges	female	21	5609	aristides villanueva	julie38@hotmail.com
universidad de palermo	ciencias veterinarias	2021-01-19	karla	willis	female	21	2322	cabaña el cisne	bacevedo@yahoo.com
universidad de palermo	licenciatura en artes	2021-01-17	jill	stephens	female	21	3641	arroyo seco	todd19@hotmail.com
universidad de palermo	licenciatura en ciencias ambientales	2021-01-12	brian	rogers	male	40	6727	gouin	rhays@hotmail.com
universidad de palermo	farmacia	2021-01-22	joshua	leach	male	21	1633	empalme	skerr@gmail.com
universidad de palermo	licenciatura en ciencia política	2021-01-20	ann	oconnor	female	21	2903	erezcano	jessicaandrews@yahoo.com
universidad de palermo	licenciatura en ciencias de la educación	2021-01-09	robert	swanson	male	49	3412	albardon	mbradshaw@gmail.com
universidad de palermo	diseño de imagen y sonido	2021-01-14	eric	holmes	male	21	3423	arañita	arnoldadam@yahoo.com
universidad de palermo	licenciatura en psicología	2021-01-27	maria	castro	female	21	8172	arroyo corto	seanmclean@gmail.com
universidad de palermo	diseño industrial	2021-01-04	maria	ramos	female	40	5400	desamparados	wilcoxcrystal@yahoo.com
universidad de palermo	ingeniería electrónica	2021-01-22	jonathon	flores	male	21	6385	arata	thomasfitzgerald@yahoo.com
universidad de palermo	arquitectura	2021-01-28	nicole	thomas	female	21	3443	colonia mendez bar	aho@hotmail.com
universidad de palermo	licenciatura en ciencias de la educación	2021-01-06	alexa	cox	female	40	6213	lote 11 escuela 107	randy32@yahoo.com
universidad de palermo	licenciatura en administración	2021-01-09	colin	schneider	male	22	1870	avellaneda	roberta35@gmail.com
universidad de palermo	licenciatura en artes	2021-01-02	tyler	gutierrez	male	21	2700	barrio trocha	vincentdunlap@yahoo.com
universidad de palermo	licenciatura en planificación y diseño del paisaje	2021-01-05	stephanie	garcia	female	23	6725	carmen de areco	mmurphy@hotmail.com
