university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
universidad nacional de tres de febrero	ingeniería electrónica	2021-01-05	lisa	lopez	female	19	6628	colonia zambungo	fsmith@yahoo.com
universidad nacional de tres de febrero	ingeniería mecánica	2021-01-15	molly	gonzales	female	21	9100	cerro santa ana	jesselopez@yahoo.com
universidad nacional de tres de febrero	farmacia	2021-01-26	pamela	perry	female	21	5363	anguinan	victoria94@hotmail.com
universidad nacional de tres de febrero	ingeniería en informática	2021-01-04	katherine	estes	female	21	7639	cooper	vincentlisa@hotmail.com
universidad nacional de tres de febrero	licenciatura en ciencia y tecnología de alimentos	2021-01-18	joseph	harding	male	21	4434	anta	pamelayoung@yahoo.com
universidad nacional de tres de febrero	agronomía	2021-01-28	dustin	hart	male	29	3536	bocas	collinsleah@hotmail.com
universidad nacional de tres de febrero	licenciatura en psicología	2021-01-29	robert	mcgee	male	21	6216	bagual	amandagonzalez@yahoo.com
universidad nacional de tres de febrero	licenciatura en psicología	2021-01-30	richard	sellers	male	21	5511	general gutierrez	smithblake@yahoo.com
universidad nacional de tres de febrero	licenciatura en ciencias biológicas	2021-01-25	dana	ward	female	21	8181	azopardo	kdixon@hotmail.com
universidad nacional de tres de febrero	licenciatura en producción de bioimagenes	2021-01-26	gloria	gray	female	33	2105	cañada rica	jared91@hotmail.com
universidad nacional de tres de febrero	licenciatura en producción de bioimagenes	2021-01-25	gary	edwards	male	21	8319	campamento sol	baileychris@gmail.com
universidad nacional de tres de febrero	medicina	2021-01-10	diana	higgins	female	21	2943	ireneo portela	gonzalezgeorge@hotmail.com
universidad nacional de tres de febrero	bioquímica	2021-01-19	jennifer	lee	female	21	5360	chilecito	jamiewilliams@gmail.com
universidad nacional de tres de febrero	arquitectura	2021-01-16	kimberly	nichols	female	21	5609	aristides villanueva	nross@hotmail.com
universidad nacional de tres de febrero	ingeniería electrónica	2021-01-27	robert	welch	male	21	3176	estacion sola	frank52@hotmail.com
universidad nacional de tres de febrero	licenciatura en ciencia y tecnología de alimentos	2021-01-19	ernest	woods	male	48	5300	amilgancho	shelby95@hotmail.com
universidad nacional de tres de febrero	farmacia	2021-01-19	terrance	mcgrath	male	21	3569	barros pazos	nrose@gmail.com
universidad nacional de tres de febrero	licenciatura en planificación y diseño del paisaje	2021-01-21	jacob	sanchez	male	23	8351	agrio balsa	brendabrooks@hotmail.com
universidad nacional de tres de febrero	ingeniería electrónica	2021-01-07	michaela	smith	female	21	2643	cafferata	duffykevin@yahoo.com
universidad nacional de tres de febrero	licenciatura en artes	2021-01-04	margaret	garcia	female	21	8512	igarzabal	michelle68@gmail.com
universidad nacional de tres de febrero	licenciatura en administración	2021-01-28	patrick	casey	male	21	1667	manuel alberti	wrightmary@hotmail.com
universidad nacional de tres de febrero	diseño industrial	2021-01-10	anthony	miller	male	21	3357	barra bonita	kirbygina@gmail.com
universidad nacional de tres de febrero	licenciatura en ciencias biológicas	2021-01-27	erin	chaney	female	21	5327	capihuas	hcole@gmail.com
universidad nacional de tres de febrero	bioquímica	2021-01-11	tracy	ward	female	38	3363	25 de mayo	ochoacrystal@hotmail.com
universidad nacional de tres de febrero	licenciatura en ciencias biológicas	2021-01-14	tamara	delgado	female	21	6103	amenabar	harperjames@hotmail.com
universidad nacional de tres de febrero	ingeniería electrónica	2021-01-22	jessica	campbell	female	21	7153	cangallo	bryce58@hotmail.com
universidad nacional de tres de febrero	ciencias veterinarias	2021-01-22	crystal	smith	female	21	5531	barrio ferri	laura53@gmail.com
universidad nacional de tres de febrero	ingeniería mecánica	2021-01-19	evan	diaz	male	21	3700	barrio gral jose de san martin	jclark@hotmail.com
universidad nacional de tres de febrero	licenciatura en ciencias de la educación	2021-01-10	linda	hayden	female	21	3337	adolfo j pomar	chelsea84@gmail.com
universidad nacional de tres de febrero	ingeniería en informática	2021-01-25	ashley	watson	female	23	6417	casbas	zandersen@hotmail.com
universidad nacional de tres de febrero	bioquímica	2021-01-30	lauren	haynes	female	27	3569	barros pazos	jenna01@yahoo.com
universidad nacional de tres de febrero	licenciatura en ciencias antropológicas	2021-01-25	linda	smith	female	21	3313	arroyo del medio	steven37@hotmail.com
